遥感：remote sensing
学术探讨：academic discussion
中国红十字会：the Chinese Red Cross
佤族：Wa Ethnic
经济状况：economic status
文化摩擦：cultural friction
仫佬族：Mulao minority
注册制度：Registration system
老年人口：Old People
生活状况：Life status
时代感：sense of the times
公共媒体：public media
专题教学：Subject teaching
宋明理学：Neo-Confucianism in the Song and Ming dynasties
石器时代：Stone Age
人骨：human skeleton
王孟英：Wang Mengying
前剂量技术：Pre-dose Technique
古尸：Ancient corpse
盛唐：Tang Dynasty
病害分析：Analysis of diseases
工部局：Shanghai municipal council
公共活动空间：Public activity space
历史文化遗产：historical and cultural heritages
超短基线：ultra-short baseline
文化重建：culture reconstruction
英国政府：UK Government
驿道：Post road
商业活动：commercial activity
写意：Spiritual expression
设计价值：design value
古民居：Ancient houses
古城保护：old city protection
市政建设：municipal construction
装饰风格：decoration style
中国近代建筑：Chinese modern architecture
大遗址：Great ruins
名人故居：former residences of celebrities
文化娱乐：cultural entertainment
技术美：technical beauty
邻里关系：neighborhood relationship
乡土文化：Vernacular culture
动物文化：animal culture
遗产保护：inheritance protection
死亡叙事：death narration
新成果：new achievement
演进路径：evolutionary path
文化名城：cultural city
德占时期：German occupation period
历史虚无主义：Historical Nihilism
教学难点：difficulties in teaching
互动交流：interactive communication
水费：water rate
模数制：modulus system
一般法：general law
张方平：Zhang Fangping
中国近现代史：Modern Chinese history
广安：Guang an
地域特点：Regional characteristic
动力因素：motive force
紫禁城：Forbidden City
秩序建构：order construction
科研方法：Scientific research method
时间概念：time concept
规划思想：planning idea
陈澧：Chen Li
历史文化名镇：Historic Town
时间误差：time error
彩绘：coloured drawing
时代特色：characteristics of the times
石器：stone implement
讲故事：story telling
翁同龢：WENG Tong-he
犹太人：Jewish people
中国抗日战争：Chinese anti-Japanese war
大明宫：Daming Palace
中法关系：Sino-French relations
经济形态：economic pattern
淮军：huai army
红岩精神：Hongyan Spirit
巫文化：Wu culture
干部教育：leader education
文化多元：Cultural pluralism
满铁：South Manchuria Railway Company
战略防御：Strategic defense
历史文化村镇：historic towns and villages
中间阶层：intermediate stratum
佛教建筑：Buddhism architecture
明初：the beginning of Ming Dynasty
学术论坛：academic forum
平和县：Pinghe county
病态美：Morbid Beauty
城市近代化：city modernization
文化网络：cultural network
地域类型：Regional type
科学评价：scientific assessment
社区整合：Community Conformity
人口发展：population growth
文艺大众化：popularization of literature
经济布局：economic arrangement
历史评价：history evaluation
资产阶级革命：bourgeois revolution
军队建设：army construction
人才思想：talent thoughts
制作技术：manufacturing technology
国共合作：Kuomintang-Communist Cooperation
八景：Eight Sights
土地面积：land area
清官：upright official
普通民众：common people
太阳崇拜：Sun worship
艺术史：The history of art
教育救国：save the nation by education
石刻艺术：carved stone art
外交活动：diplomatic activities
稻作农业：rice agriculture
《独立评论》：Independence Review
北朝时期：the Northern Dynasties
汉唐时期：Han and Tang Dynasties
政策变化：policy change
河南地区：Henan area
鄱阳湖地区：Poyang Lake area
嵩山：Songshan Mountain
农业起源：Origin of agriculture
罗振玉：Luo Zhen-yu
孙诒让：Sun Yi-rang
学以致用：study for the sake of application
世界农业：world agriculture
晚唐五代：late Tang and Five dynasties
历史局限性：Historical limitation
重农：emphasizing agriculture
成年礼：adult rite
明清时代：Ming and Qing Dynasties
鸟崇拜：Bird Worship
盘瓠：Pan Hu
东正教：the Orthodox Eastern Church
土地分配：land distribution
粮食问题：food problem
生产队：production team
商品交换：exchange　of　commodities
《汉语大词典》：Grand Chinese Dictionary
概念系统：concept system
云龙县：Yunlong county
大明山：Daming Mountai
传播生态：Communication ecology
徽州文书：Huizhou documents
文明冲突：The clash of civilizations
科技传播：S&T communication
关键词分析：keyword analysis
王应麟：Wang Ying-lin
女性阅读：female reading
《汉书》：History of Han
广播电台：broadcasting station
教育工作：education work
文化运动：cultural movement
湖南一师：Hunan First Normal College
崔与之：Cui Yuzhi
技术传播：technology communication
海南地区：Hainan region
文化重构：culture reconstruction
梁廷枏：Liang Tingnan
时间资源：time resource
学术方法：academic methods
容闳：Yung Wing
邵晋涵：Shao Jinhan
《点石斋画报》：Dianshizhai Pictorial
文集：collected works
唐廷枢：Tang Tingshu
《新华日报》：Xinhua Daily
封建迷信：feudal superstition
三国志：SAN GUO ZHI
写作意图：writing intention
《四库全书总目》：Siku quanshu zongmu
郭店楚简：Guodian Chu bamboo slips
罗愿：Luo Yuan
日本汉学：Sinology in Japan
宋荦：Song Luo
罗尔纲：Luo ergang
邵洵美：SHAO Xun-mei
彝文：Yi language
《万国公报》：The Globe Magazine
《梁书》：Liang Shu
《东西洋考每月统记传》：Eastern Western Monthly Magazine
储安平：Chu An-ping
朱执信：Zhu Zhi-xin
孝悌：filial piety and fraternal duty
佛道：Buddhism and Taoism
古文献：ancient documents
《春秋》：Chun Qiu
写作特点：writing characteristics
约翰·密尔：John Mill
符号暴力：symbolic violence
红军长征：the Long March of the Red Army
传播环境：communication environment
口述史料：oral historical materials
认知信息：Cognitive Information
公共传媒：public media
理性与非理性：rational and irrational
制度移植：system transplantation
南海诸岛：South China Sea Islands
修约：Round off
遗产资源：heritage resource
中美高校：Chinese and American universities
省际差异：interprovincial difference
南迁：southward migration
新式教育：New-style education
古玉器：ancient jade
中西文化交流：cultural exchange
中越关系：Sino-Vietnam relationship
繁昌窑：Fanchang kiln
经济制裁：economic sanction
旅游文学：travel literature
郦道元：LI Dao-yuan
旧石器时代晚期：Upper Paleolithic
思考与实践：reflection and practice
科技价值：value of science and technology
道义：morality and justice
政治地理：political geography
休假制度：vacation system
历史小说：History novel
上古：ancient times
荥阳市：Xingyang City
印第安人：American Indians
职官制度：official system
闭关锁国：closed-door policy
摇滚乐：rock music
浙北：Northern Zhejiang
李朝：Yi Dynasty
行政关系：administrative relationship
宗教裁判所：the inquisition
风暴潮灾：storm surge disaster
易货贸易：barter trade
依靠：depend on
《梦溪笔谈》：Meng Xi Bi Tan
云南大理：Yunnan Dali
学生会：students union
中体西用：Westernized Chinese style
墨西哥移民：Mexican immigration
小传：brief biography
伊藤博文：Ito Hirobumi
浙东学派：East Zhejiang School
历史进程：the course of history
核问题：Nuclear Problem
天理：Natural justice
区域社会史：regional social history
色彩结构：color structure
茶马贸易：tea-horse trade
考古学研究：archaeological research
基督教信仰：Christian faith
媒介语言：media language
雅尔塔体系：Yalta System
阶级分析法：class analysis
礼学：ritual study
法治精神：legal spirit
华人：Oversea Chinese
秦国：the Qin State
酷吏：cruel officials
端方：Duan Fang
清末新政：the New Deal in the Late Qing Dynasty
蜀学：Shu Xue
《海国图志》：Hai Guo Tu Zhi
《搜神记》：Searching Deities
渤海国：Bohai Kingdom
老庄：Lao Zi and Zhuang Zi
生计方式：means of livelihood
国际角色：international role
谢觉哉：Xie Juezai
西夏文：Xixia characters
《汉纪》：Han Ji
诏书：imperial edict
盐商：salt merchant
世界文明：world civilization
官学教育：official education
海上贸易：maritime trade
商战：business war
政治作用：political function
和合：harmony and integration
布罗代尔：Fernand Braudel
民治：government by the people
象征资本：symbolic capital
近代早期：early modern times
徐中舒：Xu Zhongshu
历史知识：historical knowledge
汉魏：Han and Wei Dynasties
中国移民：Chinese immigrant
男女：male and female
编年：chronological order
民族伦理：ethnical ethics
酷刑：cruel torture
十六国：sixteen kingdoms
中唐：the Mid-Tang Dynasty
国家机关：state organ
茅以升：Mao Yisheng
李广：Li Guang
宗教宽容：religious toleration
《说文》：Shuowen jiezi
佛教政策：buddhism policy
仲长统：Zhong Changtong
实学：Practical science
宋庆龄：SONG Qing-Ling
中央红军：the Central Red Army
地理大发现：The Great Geographical Discovery
宗族法：clan law
五代十国：Five dynasties and Ten Kingdoms
音乐思维：musical thought
花木兰：Hua Mulan
土地买卖：land transaction
孔子形象：Confucius image
马国贤：Matteo Ripa
黑死病：black death
文化繁荣：cultural prosperity
故乡：native place
祭祀圈：sacrifice circle
时代主题：theme of the times
程敏政：Cheng Minzheng
跨国民族：Transnational nationalities
丰富内涵：rich connotation
冯子材：Feng Zicai
姜维：Jiang Wei
西班牙内战：spanish civil war
南越国：Nanyue Kingdom
石家河文化：Shijiahe culture
英国革命：English revolution
单士厘：Shan Shi-li
战神：god of war
社会动荡：social turbulence
空间文化：Space culture
叙事散文：narrative prose
张佩纶：Zhang Peilun
回民：Hui people
东北军：the Northeast Army
东向政策：Look East Policy
民生主义：the Principle of the People's Livelihood
政权建设：political power construction
少子化：low fertility
新启蒙运动：neo-enlightenment movement
天赋人权：Natural Rights
曹学佺：Cao Xuequan
晚商：late Shang Dynasty
中国现代知识分子：Chinese modern intellectuals
濮人：Pu People
夜郎文化：Yelang Culture
罗家伦：Luo Jialun
女性美：feminine beauty
宗教仪式：religious rites
新论：new discussion
装饰语言：Decorative language
黄世仲：Huang Shizhong
谢国桢：Xie Guozhen
大学生群体：college students
中国海军：Chinese navy
居延汉简：Juyan Bamboo Slips of the Han Dynasty
蒙元时期：Yuan dynasty
行政机构：administrative organization
马克思主义传播：the spread of Marxism
英国小说：British fiction
课程制度：curriculum system
师道尊严：dignity of the teaching profession
心理学分析：Psychological analysis
迁移模式：migration model
三纲五常：the three cardinal guides and the five constant virtues
李世民：LI Shi-min
巴楚文化：Ba Chu culture
康熙皇帝：emperor Kangxi
法制文明：legal civilization
后冷战时期：Post-Cold War Era
第二性：the second sex
黄老思想：huang-lao thought
郑国：Zheng state
先锋艺术：avant-garde art
绥远地区：Suiyuan area
同文馆：School of Combined Learning
汉族移民：Han immigrants
陈元光：Chen Yuanguang
务实外交：pragmatic diplomacy
刘永福：Liu Yongfu
边防：border defense
蒙古社会：Mongolian society
捻军：Nian Army
殖民扩张：colonial expansion
靖国神社：the Yasukuni Shrine
蒙元：Yuan Dynasty
"五四"运动：The May 4th movement
正统观念：orthodox ideas
基本措施：basic measure
兵学：military science
法制史：history of legal system
黄易：Huang Yi
画像石：portrait stone
华裔美国人：Chinese American
石窟寺：cave temple
学潮：student strike
大同思想：Great Harmony
母系社会：matrilineal society
萨满文化：Shamanism culture
晋：Jin Dynasty
萧道成：Xiao daocheng
哥老会：Gelao Society
积极参与：positive participation
基督教教育：Christian education
中国史：Chinese History
古代日本：Ancient Japan
诺曼征服：Norman conquest
企业权力：enterprise power
天地会：Heaven and Earth Society
宋哲元：Song Zheyuan
生活习俗：Living custom
霸道：rule by force
欧洲共同体：European Communities
陆荣廷：LU Rongting
词人：ci poet
中国自由主义：Chinese liberalism
观念史：history of ideas
贺知章：He Zhizhang
教会教育：Christian education
上博简：Bamboo Slips in Shanghai Museum
沐氏家族：The Mu Family
尊重历史：true to history
吴潜：Wu Qian
诸子百家：various schools of thought
六艺：Six Arts
司空图：SI Kong-tu
庄存与：Zhuang Cunyu
思想价值：thought value
家庭规模：family size
殖民政策：Colonial Policy
杨森：Yang Sen
现代知识分子：modern intellectual
许广平：Xu Guangping
白马人：baima people
陶俑：pottery figures
民间贸易：nongovernmental trade
文化兼容：cultural compatibility
平等思想：equal thought
美国黑人：black Americans
姚莹：YAO Ying
聂荣臻：Nie Rongzhen
萍乡煤矿：Pingxiang Coal Mine
陈仪：Chen yi
亚裔美国人：Asian Americans
内阁制：cabinet system
近代欧洲：modern Europe
中国历史地理学：Chinese historical geography
发现与研究：discovery and research
吴简：Wu slips
张伯行：Zhang Boxing
幕藩体制：Bakuhan System
山东抗日根据地：Shandong Anti-Japanese Base Area
教育独立：Educational Independence
内在理路：inner logic
历史社会学：historical sociology
八路军：the Eighth Route Army
皇权专制：Imperial autocracy
《通典》：Tong dian
史学遗产：historical heritage
主要经验：main experience
梁章钜：Liang Zhangju
农业集体化：collectivization of agriculture
土地资本化：land capitalization
宪政运动：Constitutional Movement
政企分开：separation of government and enterprise
朴趾源：Pak Chi-won
刘表：Liu Biao
差序格局：the structure of grade
刘秉忠：Liu Bingzhong
吴晗：Wu Han
司马氏：Sima family
内容特点：content characteristic
敦煌艺术：Dunhuang art
国民会议：national congress
毓贤：Yu Xian
牛津大学：University of Oxford
国联：the League of Nations
华洋义赈会：China International Famine Relief Commission
布罗代尔钟罩：Braudel Bell Jar
军事价值：military value
瓦乡人：Waxiang people
同盟会：Tung Meng Hui
佛教艺术：Buddhism art
文化人：cultural man
三代：three generations
《盐铁论》：On Salt and Iron
江村：Jiangcun Village
无条件投降：Unconditional surrender
经济角色：Economic role
夷夏观：views of minorities and the Han nationality
海洋文明：ocean civilization
独立意志：independent will
商人形象：merchant image
天津商会：Tianjin chamber of commerce
地方官：Local Officials
历史文化地理：historical cultural geography
雷海宗：Lei Haizong
荒政：famine relief
文化交融：cultural blending
《盛京时报》：Shengjing Times
中日战争：Sino-Japanese War
明遗民：Ming loyalists
中国人民：Chinese people
知识青年：educated youth
社会民俗：Social Customs
政治艺术：Political art
蓝鼎元：Lan Dingyuan
晋国：Jin Kingdom
张溥：ZHANG Pu
传统中国：traditional china
民族共同体：national community
胡三省：Hu Sanxing
楚竹书：Bamboo slips of Chu
吴师道：Wu Shidao
曾琦：Zeng qi
河姆渡文化：Hemudu culture
国大党：Congress Party
王灼：Wang Zhuo
舆论战：public opinion warfare
谢启昆：Xie Qikun
李石曾：Li Shizeng
《南山集》案：the Case of Nanshan Collection
商税：Commodity Tax
方志敏：Fang Zhimin
学术品格：academic character
雷沛鸿：Lei Peihong
近代中国社会：modern Chinese society
朱耷：Zhu Da
孙科：Sun Ke
1927-1937年：from 1927 to 1937
思想研究：thought study
《大宪章》：magna carta
名家：the School of Names
反法西斯战争：anti-fascist war
张德彝：Zhang Deyi
中秋节：Mid-autumn Festival
雍正帝：emperor Yongzheng
陈霸先：Chen Baxian
县制：county system
童养媳：child bride
宗教活动：religious activity
回族进士：Successful Candidate of Hui
王亥：WANG Hai
吴稚晖：Wu Zhihui
井真成：Ino Manari
官僚资本：bureaucratic capital
朝鲜使臣：Korean envoys
刘蓉：Liu Rong
中国典籍：Chinese classics
苏格拉底之死：the death of Socrates
军事政变：military coup
立法特点：legislative features
国民大会：National Assembly
建筑形制：architectural form
奕訢：Yi Xin
经济史：history of economy
吴禄贞：Wu Luzhen
西洋：the West
民政：civil administration
唐高宗：Tang Gaozong
刘锦棠：Liu Jintang
立法改革：legislation reform
经济近代化：economic modernization
林政：forestry administration
赵文华：Zhao Wenhua
古典共和主义：classic republicanism
学术大师：academic master
周文化：Zhou culture
周素园：Zhou Suyuan
德育价值：moral education value
中立政策：Neutral Policy
婚礼仪式：wedding ceremony
官制改革：bureaucracy reformation
密宗：mi sect
政治角色：Political role
天主教会：Catholic Church
哥窑：Ge Kiln
曾布：Zeng Bu
转型模式：conversion model
性别话语：gender discourse
地缘政治格局：geopolitical pattern
早期思想：early thought
海瑞：Hai Rui
史籍：historical records
教育行政体制：educational administration system
学术评论：academic review
鲁土司：Chieftain Lu
渔猎：fishing and hunting
干部工作：Cadre work
西征：western expedition
常平仓：the ever normal granary
侬智高：Nong Zhigao
银币：silver coin
火文化：fire culture
古代雕塑：ancient sculpture
《唐摭言》：T'ang Chih-yen
中医文献：literature of TCM
《人民日报》：People Daily
仪式传播：ritual communication
媒介建构：Media construction
身体规训：body discipline
教育危机：education crisis
七夕节：Qixi Festival
齐长城：the Qi Great Wall
罗泽南：Luo Zenan
县政：County Administration
会道门：Hui-Dao men
苏报案：Subao Case
意大利文艺复兴：Italian Renaissance
国家神道：State Shinto
齐鲁大学：Cheeloo University
马钰：Ma Yu
保护与修复：Conservation and restoration
独立学科：independent discipline
书法风格：calligraphy style
南极条约：Antarctic Treaty
设计尺寸：design size
农村调查：rural survey
泼水节：Water-splashing Festival
礼服：formal dress
皇甫谧：Huangfu Mi
红旗渠：Hongqi Canal
北运河：North Canal
林大钦：Lin Daqin
省思：examination and reflection
巢湖流域：the Chaohu lake basin
理财：conduct financial transactions
南淝河：Nanfei river
形态要素：Form elements
铅同位素比值：lead isotope ratios
农产品加工：farm product processing
拉丁美洲：Latin American
矿难：coal mine disaster
朝阳市：Chaoyang City
福建沿海：Fujian Province
下限：low limit
分布状况：distribution status
社会原因：social factors
冀中：central Hebei Province
改善对策：improvement measures
环境整治：environmental treatment
聚落地理学：settlement geography
琉璃瓦：glazed roof tile
瑶族：Yao Ethnic Minority
兼用：dual function
傈僳族：Lisu people
古玻璃：ancient glass
青白瓷：Bluish-white porcelain
呼伦贝尔：Hulun Buir
都昌县：Duchang County
工艺特征：process characteristics
防灾救灾：disaster prevention and reduction
粉彩：famille rose
枣庄：Zaozhuang city
威海：Weihai city
樱花：Flowering cherry
鄂霍次克海：Okhotsk Sea
清水：fresh water
清洁空气：clean air
古代服饰：ancient dress
鹿角：Cornu Cervi
社会成因：social factors
吉林省东部：eastern Jilin Province
洛河：Luohe River
工商业：the industry and commerce
自然河流：natural river
商周时期：Shang and Zhou Dynasty
开发及利用：development and utilization
女性文化：women culture
水线：water line
风景名胜：scenic spot
阿昌族：AChang Nationality
私盐：salt smuggling
传统形式：traditional form
服饰品牌：Fashion Brand
青海湖流域：Qinghai Lake watershed
色标：Color mark
毛纺织：wool textile
内结构：inner structure
外结构：outer structure
冀北地区：northern Hebei
亚太地区：Asia Pacific
研究范围：study scope
灾情：disaster condition
激活温度：Activation temperature
《天工开物》：Tiangong Kaiwu
保护建议：Protection suggestion
丝纤维：silk fiber
番薯：sweet potato
国外研究：foreign study
晋西北：Northwestern Shanxi
新探：New Approach
尼罗河：Nile River
青花瓷：blue and white
过渡性：transitional character
调控模式：regulation model
环境地理：environmental geography
马家窑文化：Majiayao culture
彩陶：colored pottery
城市风貌：city feature
活动规律：Activity rule
文化理念：cultural ideas
历史启迪：historical enlightenment
恒山：Hengshan Mountain
旧中国：Old China
艺术造型：artistic modeling
保护工程：Conservation project
设计规划：design planning
考核制度：check-up system
新石器时代文化：Neolithic culture
飞行时间法：time of flight
三农问题：Three Rural Problems
医疗工作：medical work
户籍：Household registration
养生思想：Doctrines of maintaining good health
家养动物：domestic animal
城乡差别：urban-rural disparity
生殖工程：Reproductive engineering
毛南族：Maonan minority
寒食节：Cold Food Festival
艺术学：the study of art
男性参与：Male participation
地理因素：geographical elements
张镜人：Zhang Jingren
珞巴族：Luoba ethnic group
工作进展：working progress
传承创新：inheritance and innovation
互助：mutual aid
医学交流：medical exchange
西南边疆：Southwest frontier
民族语言：minority languages
政治经济：politics and economy
理论思考：theoretical reflections
人类安全：human security
传播功能：spreading function
红十字会：Red Cross
史学研究：History research
金元时期：Jin and Yuan Dynasties
中国家谱：Chinese family tree
权力转移：power transfer
体育项目：sports events
学术特征：academic characteristics
国防经济：defense economy
旅游主体：tourism subject
空间作用：space action
伦理意蕴：ethical implication
干线：trunk road
美术编辑：art editor
中国近代史：China's modern history
北江流域：Beijiang River Basin
后土庙：Houtu Temple
用地结构：structure of land use
街头政治：street politics
政策背景：policy background
送别诗：farewell poem
地质灾害防治：prevention of geological hazard
黄河治理：Yellow river regulation
地域风格：area style
张太雷：ZHANG Tai-lei
古村：ancient village
交往活动：communication activity
桥文化：bridge culture
研究评述：research appraisal
故宫：The Forbidden City
逻辑架构：logical structure
叶县：Ye County
研究工作：Research work
芒福德：Lewis Mumford
文化战略：Cultural Strategies
城市记忆：Collective Memory of city
黑瓷：black porcelain
内圣外王：a learning both sound in theory and practice
城市社会：City society
安全需求：safety requirement
闽江下游：lower reaches of Minjiang River
音乐特征：Characteristic of music
鄂西北：northwest of Hubei
地下水渗流：seepage flow of underground water
景观保护：landscape conservation
主题文化：theme culture
兴起和发展：rise and development
交河故城：Ruins of Jiaohe
保护和发展：protection and development
活动特征：activity features
红学：study of A Dream of Red Mansions
中间势力：middle force
联邦宪法：federal constitution
民间力量：Folk force
早期历史：Early History
数据对比：Data comparison
威尼斯宪章：Venice Charter
田园城市理论：Garden City theory
美国教育：education in America
社会根源：social sources
考察分析：Investigation and analysis
人生智慧：wisdom of life
大同煤矿：Datong Coal Mine
分界线：Dividing line
教育活动：education activities
生活理想：ideal of life
市民阶层：citizen class
沦陷时期：occupied period
历史文化传统：historical and cultural tradition
生产任务：production task
洛阳地区：Luoyang region
木构件：wood component
文化关系：cultural relation
战争与和平：Peace and war
区域利益：regional interest
社会主义国家：Socialist country
《寒夜》：Han Ye
城市内部空间结构：urban internal spatial structure
尼赫鲁：Jawaharlal Nehru
文化习俗：cultural conventions
成败：success or failure
城市工作：city work
雕刻艺术：carving art
家庭联产承包责任制：household contract responsibility system with remuneration linked to output
三民主义：the Three people's Principles
宪政体制：constitutional system
李约瑟难题：Joseph Needham Problem
译名：translation of terms
王权：monarchical power
灌浆加固：grouting strengthen
盐场：salt field
仿古建筑：pseudo-classic architecture
文物数字化：digitalized antique
最惠国待遇：MFN treatment
水盐运移：moisture and salt regime
福建经济：Fujian economy
积极意义：active significance
文化圈：culture circle
契税：contract tax
借鉴意义：reference significance
区域中心：regional center
宜兴：Yixing City
中古：the Middle Ancient Times
信息保存：information preservation
汉水：Han River
仕履：official career
城门：city gate
区域调查：regional survey
审美特点：aesthetic characteristic
汉长安城：Han Chang an City
回避制度：Evasion system
政治主张：political opinion
史传文学：historical literature
堤防建设：dyke construction
农安县：Nongan county
中华人民共和国史：History of the people's Republic of China
决策能力：decision-making capability
思想文化：ideological culture
视觉感受：visual sense
逆差：adverse balance of trade
国权：national sovereignty
炎帝文化：Yan Emperor Culture
美国南部：American south
新民主主义革命时期：new-democratic revolution period
祖先崇拜：worship of ancestor
祁韵士：Qi Yunshi
经济力量：economic power
孟州市：Mengzhou City
和平共处：peaceful co-existence
准格尔旗：Zhungeer county
冬至：winter solstice
优劣：Advantages and disadvantages
文化竞争力：cultural competitive power
辽东山区：montane regions of eastern Liaoning Province
农业转型：agricultural transformation
新县：Xinxian County
妙峰山：Miaofeng Mountain
贫困山区：poverty mountainous area
黍：broomcorn millet
新村运动：New Community Movement
史前考古：prehistoric archaeology
晋南：the south of Shanxi province
农业产业：agriculture industry
农业科技推广：Agricultural sci-tech extension
满城县：Mancheng County
白鹤村：Baihe Village
四个阶段：four stages
豫南：South Henan
简评：brief comment
变化过程：change process
国家观：National view
土地租赁：land leasing
敦煌石窟：Dunhuang caves
最早：the earliest
乡土知识：indigenous knowledge
人民战争：people's war
关中西部：western Guanzhong
学生兴趣：Students Interests
食物供应：food supply
禁忌习俗：taboo custom
田赋：Land Tax
蒙古草原：Mongolia grassland
重庆图书馆：Chongqing Library
信史：true history
图像表达：Image representation
隋炀帝：Emperor Sui yang
《大公报》：Ta-kung Daily
政治传播：political propagation
当代史：contemporary history
重庆大轰炸：Chongqing Bombing
仿真度：simulation degree
阅读特点：reading characteristics
出版自由：press freedom
西夏艺术：Xixia art
俞明震：Yu Mingzhen
东京城：Dongjing city
校舍：School building
文化大众化：culture popularization
王之春：Wang Zhichun
独立评论：Independent Review
学术特色：Academic characteristics
藏文文献：Tibetan document
藏书管理：collection management
江西苏区：Jiangxi Soviet Area
康熙朝：Kangxi Dynasty
史料学：historical data
印刷媒介：printing media
土地交易：land trade
房玄龄：Fang Xuanling
内容建设：content construction
中国少数民族：Chinese minority
世界地图：world map
《唐会要》：Tang Huiyao
刻本：the block-printed edition
教学训练：teaching & training
城市空间网络：Urban space network
大后方：rear area
旅游学：Tourism subject
叶昌炽：Ye Changchi
史部：history department
满文文献：Manchu literatures
图书出版业：publishing industry
学术环境：academic atmosphere
小说月报：The Short Story Magazine
固定语：fixed expression
清史：Qing history
彩塑：Painted sculpture
研究视角：perspective of research
周礼：Zhou Li
发展特色：Development Features
地图市场：map market
永乐大典：Yongle Canon
共同利益：common benefit
西夏文字：Xixia characters
藏学研究：Tibetan research
教育机构：educational institution
文献史料：historical literature
社会舆论：social opinions
财政工作：financial work
经济贸易：economic trade
黑海：Black Sea
防线：Line of defense
国家建设：national construction
山西地区：Shanxi area
史前文明：Prehistoric civilization
哥白尼革命：Copernican revolution
地政：land administration
宽深比：width depth ratio
土墩墓：mound tomb
数学游戏：Mathematical game
可持续保护：sustainable protection
时间意识：sense of time
龚育之：gong yuzhi
埋藏环境：buried environment
《宋史》：Song Shi
江浙：Jiangsu and Zhejiang Provinces
共和国：The Republic
《后汉纪》：HOU HAN JI
贵州少数民族：Guizhou minorities
分子考古学：molecular archaeology
社会观：social view
生产力水平：level of productivity
战略意图：strategic purpose
文化困境：culture dilemma
高管层：Top Executive
外资政策：FDI Policy
体育发展：physical education development
登陆地点：landfall position
历史真相：historical truth
专制制度：dictatorial system
南北战争：Civil War
技术与社会：technology and society
科玄论战：controversy between sciences and metaphysics
维新派：the Reformists
经济重心：economic gravity center
狄考文：Calvin Wilson Mateer
科技观：science and technology view
明清之际：late Ming and early Qing
科技发展战略：S&T development strategy
《春秋经传集解》：Chun Qiu Jing Zhuan Ji Jie
选才：selecting talent
格物：Ge Wu
旅游思想：tourism thought
地方官员：local official
族群意识：ethnic identity
人类化石：Human fossil
《河图》：He Tu
岫岩玉：Xiuyan Jade
《五藏山经》：Wu Zang Shan Jing
韦应物：WEI Ying-wu
科学信仰：scientific belief
回回：Hui Hui
张相文：Zhang Xiangwen
终南山：Zhongnan mountain
尧舜：Yao and Shun
党的工作：Party work
华蓥市：Huaying City
临城煤矿：Lincheng coal mine
渭南地区：Weinan region
詹天佑：Zhan Tianyou
战略布局：Strategic distribution
民俗化：folk custom
枢密院：Privy Council
叶剑英：YE Jian-ying
文学史研究：research of literary history
庙会文化：temple fair culture
八旗制度：the eight banners system
现代国家：modern countries
理论成果：theoretical achievements
宋史：history of the Song dynasty
敦煌变文：Dunhuang narrative literature
历史传说：historical legends
吕不韦：Lü Buwei
幸福观：view on happiness
成人礼：initiation rite
井冈山根据地：Jinggangshan revolutionary base
殖民统治：Colonial Domination
新砦期：Xinzhai period
八股文：the eight-legged essay
区域性组织：regional organization
美术史：history of fine arts
抗美援朝战争：the War to Resist USA and to Aid Korea
北洋海军：Beiyang Navy
军事职能：military function
交往关系：communication relationship
幕僚：aides and staff
妇女工作：women work
实录：factual record
联省自治：inter provincial autonomy
三纲：Three Cardinal Guides
伦理转向：ethical turn
有效参与：effective participation
佛教思想：buddhist ideas
齐文化：the culture of Qi
马克思主义文艺学：Marxist literary theory
土家族地区：tujia areas
地方财政支出：local fiscal expenditure
特殊价值：special value
张治中：ZHANG Zhi-zhong
空间表现：space expression
民族传统体育文化：traditional sports culture
行政学：public administration
明代中后期：the mid-late Ming Dynasty
知识阶层：intellectual stratum
边疆危机：frontier crisis
中国因素：Chinese factors
通商口岸：trading port
发展原因：reasons for development
音乐美：the beauty of music
使职：accredited officials
刘伯承：Liu Bocheng
大明会典：Da Ming Hui Dian
文化形式：cultural form
历史书写：historical writing
抗战文学：anti-Japanese literature
漕粮：tribute grain
扬州八怪：Yangzhou Eight Eccentrics
饕餮纹：Taotie pattern
压力集团：Pressure Group
土豪：local tyrant
太平洋国际学会：Institute of Pacific Relations
竞渡：boat race
程德全：Cheng Dequan
东巴教：Dongba religion
犹太定居点：Jewish Settlements
黄仁宇：Ray Huang
经济动因：economic motivation
黎烈文：Li Liewen
北京政府：the Beijing government
丧葬礼俗：funeral custom
史书：historical records
彩调：Cai Diao
回归传统：return to tradition
高考移民：the immigrants for NCEE
土著文化：aboriginal culture
朝贡体系：tributary system
妇女解放运动：women's liberation movement
民族习惯法：ethnic customary law
卢纶：Lu Lun
组织危机：organization crisis
《中国近现代史纲要》："outline of Chinese modern history"
想象共同体：Imagined Community
学术交往：academic exchange
史学评论：historical comment
中共党史：CPC History
参与方式：participation ways
训政：political tutelage
家庭制度：Family system
耆英：Qi Ying
乾嘉学派：Qian Jia school
世界古代史：ancient world history
社会主义文化建设：socialist cultural construction
美苏关系：US-Soviet relations
三教合一：combination of three religions
成功之道：way to success
汉人：the Hans
李自成：Li Zicheng
国家起源：origin of state
解放战争时期：the period of liberation war
当代中国史：contemporary China history
启示与借鉴：enlightenment and reference
明末清初：the late Ming Dynasty and early Qing Dynasty
