神经网络：neural network
鞣酸：tannic acid
生态系统服务价值：ecosystem services value
生态健康：ecological health
热污染：thermal pollution
选择性催化还原：selective catalytic reduction(SCR)
固体废物：solid wastes
氧化硫硫杆菌：Thiobacillus thiooxidans
悬浮物：suspended solids
包气带：vadose zone
物理方法：physical method
陶瓷过滤机：ceramic filter
尾矿库：tailings pond
调质：quenching and tempering
地方病：endemic diseases
土地利用类型：Land use types
硫化物：sulfur compounds
计量管理：measurement management
碳同位素：carbon isotopes
诱变选育：Mutation breeding
替代燃料：alternative fuel
AspenPlus：Aspen Plus
环境友好型社会：environment-friendly society
化粪池：septic tank
染料中间体：Dye intermediate
火焰原子吸收分光光度法：flame atomic absorption spectrometry
微核实验：Micronucleus test
污染预防：pollution prevention
土壤样品：Soil sample
生理指标：physiological parameters
生态服务价值：ecological service value
土壤胶体：soil colloid
利益冲突：Benefit conflict
高碘酸钠：Sodium periodate
吸附热：adsorption heat
铬鞣：chrome tanning
湿地土壤：wetland soil
过渡金属氧化物：transition metal oxide
C/N：C/N ratio
废物处理：waste treatment
质量监测：quality monitoring
环境变迁：environmental changes
公益林：public welfare forest
水环境质量：water environment quality
日照市：Rizhao city
自动化控制：automation control
水冷：water cooling
职业安全：Occupational safety
异养菌：heterotrophic bacteria
农业景观：agricultural landscape
X射线荧光：X-ray fluorescence
无性繁殖：asexual propagation
生成机制：formation mechanism
兽药：Veterinary Drug
淮北市：Huaibei City
汽包：steam drum
真空炉：vacuum furnace
线性规划模型：linear programming model
生态消费：ecological consumption
社区旅游：community tourism
K-S检验：K-S test
分子调控：molecular regulation
研究框架：research framework
环境美学：environmental aesthetics
生态网络：ecological network
18srDNA：18s rDNA
纯培养：pure culture
排烟：smoke exhaust
辐射雾：radiation fog
消防监督：fire supervision
流化床锅炉：fluidized bed boiler
热红外遥感：Thermal infrared remote sensing
保定市：Baoding city
政府调控：government regulation
热控系统：thermal control system
决策树分类：decision tree classification
正弦函数：sine function
土-水特征曲线：soil-water characteristic curve
垃圾收集：garbage collection
跨步电压：step voltage
土壤抗蚀性：soil anti-erodibility
精神价值：spiritual value
绩效评价体系：performance evaluation system
吸附模型：adsorption model
行政契约：administrative contract
村委会：village committee
熔渣：molten slag
煤矸石：coal refuse
密切值法：Osculating value method
海域：sea area
复合光催化剂：composite photocatalyst
陶瓷球：ceramic ball
气田开发：gas field development
工业园：industrial park
超声技术：ultrasonic technology
孔容：pore volume
复合载体：composite support
吸附量：adsorption capacity
本质安全：inherent safety
挥发性脂肪酸：volatile fatty acids
水动力条件：hydrodynamic condition
工业工程：industry engineering
耐酸性：acid resistance
萃取机理：extraction mechanism
木质素过氧化物酶：lignin peroxidase
分子质量分布：molecular weight distribution
平原水库：plain reservoir
微污染水源水：micro-polluted source water
工艺模拟：process simulation
污染河水：polluted river water
悬浮颗粒物：suspended particulate matter
比生长速率：specific growth rate
空间分异：spatial variation
羰基硫：carbonyl sulfide
统计指标：statistical index
爆炸事故：explosion accident
碱木质素：alkali lignin
自由基反应：free radical reaction
硫酸盐还原：sulfate reduction
电加热器：electric heater
铜冶炼：copper smelting
DLVO理论：DLVO theory
职业中毒：Occupational poisoning
好氧消化：Aerobic digestion
四溴双酚A：tetrabromobisphenol A
土地规划：land use planning
华北油田：Huabei Oilfield
道路建设：road construction
蓄热式燃烧：regenerative combustion
卤乙酸：haloacetic acids
硫化亚铁：ferrous sulfide
降温效果：cooling effect
准好氧填埋：semi-aerobic landfill
因次分析：dimensional analysis
排放标准：Discharge standard
全磷：Total phosphorus
X射线荧光分析：X-ray fluorescence analysis
评价体系：evaluate system
容积法：volumetric method
活性碳：Active carbon
盐池县：Yanchi county
自然因素：natural factors
邓恩桉：Eucalyptus dunnii
一致性检验：consistency check
模型化合物：model compounds
公路网：road network
半干旱地区：semi-arid area
恒压：constant voltage
辐射监测：Radiation monitoring
强化过滤：enhanced filtration
水环境承载力：water environment carrying capacity
参数率定：parameter calibration
组态软件：configurable software
农业资源：agriculture resources
电化学生物传感器：Electrochemical biosensor
水危机：water crisis
逆温层：Inversion layer
综合运输：comprehensive transportation
正相关：positive correlation
自然植被：natural vegetation
临界水深：Critical depth
姐妹染色单体交换：sister chromatid exchange
光合效率：photosynthetic efficiency
热气机：Stirling engine
滨水空间：Waterfront Space
水资源可持续利用：water resources sustainable utilization
均衡模型：equilibrium model
公共参与：Public Participation
迭代函数系：iterated function system
表型多样性：phenotypic diversity
斯特林发动机：Stirling engine
商品流通：commodity circulation
农地城市流转：rural-urban land conversion
农业自然资源：Agricultural natural resources
降耗：consumption reduction
石墨炉原子吸收：Graphite furnace atomic absorption spectrometry
稠油：thick oil
常减压蒸馏装置：atmospheric-vacuum distillation unit
工业共生：industrial symbiosis
破胶剂：gel breaker
有效扩散系数：effective diffusion coefficient
矿渣粉：slag powder
洗浴废水：bathing wastewater
低污染：low pollution
防火涂料：fire retardant coating
磁性纳米颗粒：magnetic nanoparticles
N2O：Nitrous oxide
COD去除率：COD removal
吸波材料：microwave absorbing materials
富营养化水体：Eutrophic water
直接染料：direct dye
敏感性评价：sensitivity evaluation
味精：monosodium glutamate
水井：water well
爆炸压力：explosion pressure
皮革工业：leather industry
电化学动力学：electrochemical kinetics
水质指标：Water quality index
硫氰酸钠：sodium thiocyanate
生物控制：biological control
综合应用：Comprehensive application
广州地区：Guangzhou area
功能评价：function evaluation
优化管理：optimal management
伊乐藻：Elodea nuttallii
叠加原理：principle of superposition
脆弱性评估：vulnerability assessment
积灰：ash deposition
芳香烃：aromatic hydrocarbon
悬浮液进样：Suspension Sampling
屠宰废水：slaughterhouse wastewater
应急疏散：Emergency Evacuation
亚硝酸：Nitrous acid
地浸采铀：in-situ leaching of uranium
研究展望：research prospect
镍氢电池：Ni-MH battery
总铬：total chromium
硼氢化钾：potassium borohydride
超细粉煤灰：Ultra-fine fly ash
赤子爱胜蚓：Eisenia foetida
定量指标：quantitative index
《京都议定书》：Kyoto Protocol
淮南市：Huainan city
生态模式：Ecological model
酸雨胁迫：acid rain stress
岱海：Daihai Lake
鲢：Hypophthalmichthys molitrix
干法：dry method
环境模拟：environmental simulation
潜水：phreatic water
对虾养殖：shrimp culture
输煤系统：coal handling system
生态因素：ecological factors
政策设计：policy design
氮素损失：nitrogen loss
人的因素：human factor
基本框架：Basic frame
岩溶洞穴：karst cave
绿色文化：Green culture
聚类系数：clustering coefficient
盐城市：Yancheng City
贝叶斯模型：Bayesian model
菌株鉴定：Strain identification
常熟市：Changshu city
绿色交通：green traffic
混合燃料：mixed fuel
衰减常数：attenuation constant
人因工程：human factors engineering
优化规划：optimal planning
耐药基因：Resistant genes
遗传机制：genetic mechanism
效率刻度：Efficiency calibration
新视角：new perspective
治理效率：governance efficiency
铅含量：lead content
铁路施工：railway construction
防汛：flood prevention
岩溶水系统：karst water system
上限定理：upper bound theorem
社会形态：social form
氮矿化：nitrogen mineralization
星座设计：constellation design
阜新市：Fuxin city
微生物采油：microbial enhanced oil recovery
科尔沁沙地：Horqin Sand Land
空气污染指数：air pollution index
河蚬：Corbicula fluminea
镀银：silver plating
氨基甲酸乙酯：ethyl carbamate
排污收费：pollution charge
水回用：water reuse
正交实验法：Orthogonal experiment
电耗：Electricity consumption
物理法：physical method
表层土壤：surface soil
形态分析：morphological analysis
屏蔽效能：shielding efficiency
抗菌性能：antibacterial properties
NO还原：NO reduction
降解产物：degradation products
水稻田：paddy field
电化学反应器：electrochemical reactor
疏散时间：evacuation time
芳香化合物：aromatic compounds
工业园区：industrial parks
营养状态：nutritional status
食物网：food web
结构改进：structural improvement
活性艳红X-3B：Reactive Red X-3B
玻璃鳞片：glass flake
母液：mother liquor
碱处理：alkaline treatment
应急体系：emergency system
陶瓷膜：ceramic coatings
催化机制：catalytic mechanism
东营市：Dongying city
技术分析：technological analysis
柚皮：pomelo peel
给水处理：water supply treatment
氟硅酸：fluosilicic acid
天然放射性：natural radioactivity
地下水补给：groundwater recharge
分离提纯：separation and purification
难降解废水：refractory wastewater
物料平衡：mass balance
安全检查：security inspection
环境水样：environmental water sample
循环水：circulation water
民勤县：Minqin county
连续生产：continuous production
实验分析：experiment analysis
环境史：environmental history
二维模型：two-dimensional model
静态博弈：static game
水质变化：water quality change
相似原理：similarity principle
微生物生态学：microbial ecology
火灾场景：fire scenario
疏水改性：hydrophobic modification
异重流：density flow
阳离子交换：cation exchange
重庆地区：Chongqing Area
环境信息系统：environmental information system
平衡分析：balance analysis
生物地球化学循环：biogeochemical cycle
化学特征：chemical characteristics
热等离子体：thermal plasma
欧氏贴近度：euclid approach degree
苯酚降解：phenol degradation
树脂吸附：resin adsorption
可再生资源：renewable resources
消防管理：fire management
激励政策：Incentive policy
污水泵站：sewage pumping station
估算方法：estimation method
绿色生态：green ecology
鄱阳湖区：Poyang lake area
城市湿地公园：Urban wetland park
除锰：manganese removal
危险分析：hazard analysis
可持续性：Sustainable development
AHP法：Analytic hierarchy process
乙酸钠：sodium acetate
农业系统：Agricultural system
设计制造：design and manufacture
生态结构：ecological structure
最优决策：optimal decision
可见分光光度法：visible spectrophotometry
河流系统：river system
预测模式：prediction model
大气质量：air quality
硝酸盐还原酶：nitrate reductase
降膜吸收：falling film absorption
谷胱甘肽硫转移酶：glutathione S-transferase
春节：Spring Festival
成本模型：cost model
热水系统：hot water system
火灾荷载：fire load
景观空间格局：landscape spatial pattern
汾河水库：Fenhe Reservoir
价值主体：value subject
邢台市：Xingtai City
菹草：Potamogeton crispus L
总平面布置：general layout
能源系统：energy system
白令海：Bering sea
沼气工程：biogas project
核算方法：accounting method
区域特征：regional characteristics
比吸收率：specific absorption rate
软基：soft soil foundation
PPP模式：PPP mode
铜矿石：Copper ore
吸收效率：absorption efficiency
补体C3：complement C3
模糊线性回归：fuzzy linear regression
植物生长物质：plant growth substance
有源滤波：active filter
铁路网：railway network
外水压力：external water pressure
地被植物：Ground Cover Plants
SWOT模型：SWOT model
饱和土：saturated soils
防范机制：prevention mechanism
数字印刷：digital printing
态势分析：situation analysis
外部经济：external economy
准公共物品：quasi-public goods
后工业社会：post-industrial society
多边贸易体制：multilateral trading system
土壤物理性质：soil physical property
管理教育：management education
风暴轴：storm track
香溪河：Xiangxi River
上覆水：overlying water
选择性非催化还原：selective non-catalytic reduction
产业国际竞争力：industrial international competitiveness
硫酸盐还原菌：sulfate-reducing bacteria(SRB)
轻油：light oil
水源地：water source area
化学传感器：chemical sensors
类比法：analogy method
生态治理：ecological management
毒性效应：toxicity effect
光化学烟雾：photochemical smog
可吸入颗粒物：inhalable particles
复合添加剂：composite additive
核异常：nuclear anomalies
RS和GIS：RS and GIS
过滤阻力：filtration resistance
含油污泥：oil sludge
Zeta电势：Zeta potential
酶解：enzymic hydrolysis
水溶液：Water solution
污染特征：pollution characteristic
舰船辐射噪声：ship-radiated noise
生态现代化：ecological modernization
定量PCR：real-time PCR
谷胱甘肽过氧化物酶：glutathione peroxidase(GSH-Px)
工业废渣：industrial waste
板栗壳：chestnut shell
钨酸铅：lead tungstate
连续流：continuous flow
Carrousel氧化沟：Carrousel oxidation ditch
亚硫酸钙：calcium sulfite
罗源湾：Luoyuan Bay
钢材：steel products
水体富营养化：water eutrophication
连续提取：sequential extraction
工业规模：commercial scale
异常数据：abnormal data
填充床：packed bed
珠江口：Zhujiang Estuary
生态足迹模型：ecological footprint model
石羊河：shiyang River
氧化球团：oxidized pellet
火焰结构：flame structure
水花生：alternanthera philoxeroides
运行效率：Operation Efficiency
氧化钕：neodymium oxide
氯化铜：copper chloride
丙烯酰胺共聚物：acrylamide copolymer
PVC：polyvinyl chloride
保护策略：protection strategy
毒性作用：toxic effect
湄洲湾：Meizhou Bay
Fischer-Tropsch合成：Fischer-Tropsch synthesis
火灾模型：fire model
噪声监测：noise monitoring
池火灾：pool fire
荧光熄灭：Fluorescence quenching
金华市：Jinhua City
电解氧化：electrolytic oxidation
新乡市：Xinxiang city
铅酸电池：lead acid battery
地铁火灾：subway fire
应急反应：emergency response
灰色系统模型：grey system model
功能安全：functional safety
雌激素活性：estrogenic activity
湿地景观：wetland landscape
激光诱导击穿光谱：laser-induced breakdown spectroscopy
井下作业：Downhole operation
标准方法：Standard method
经济性评价：Economic evaluation
分析化学：analysis chemistry
环境损害：environmental damage
景观功能：landscape function
氯化锰：manganese chloride
昆明盆地：Kunming basin
演化规律：evolution law
营养特性：nutritional characteristics
环境监测站：environmental monitoring station
硫酸铁铵：ammonium ferric sulfate
遥感模型：Remote sensing model
环境梯度：environmental gradient
可溶性蛋白：soluble proteins
管理技术：management technique
湖州市：Huzhou City
单胺类神经递质：monoamine neurotransmitters
检定规程：verification regulation
自动生产线：automatic production line
光纤温度传感器：optical fiber temperature sensor
电极结构：electrode structure
唐鱼：Tanichthys albonubes
目视解译：visual interpretation
模糊评价模型：Fuzzy evaluation model
小城镇建设：construction of small towns
航空遥感：airborne remote sensing
莫高窟：Mogao Grottoes
时间因素：time factor
元素丰度：element abundance
利他行为：altruistic behavior
肠道细菌：Intestinal bacteria
高压共轨：high-pressure common rail
QuickBird影像：QuickBird image
桩基施工：pile foundation construction
暴雨洪水：storm flood
进化博弈论：evolutionary game theory
种植方式：planting pattern
定性模型：qualitative model
人工增雨：precipitation enhancement
甲醛污染：formaldehyde pollution
稀溶液：dilute solution
化学实验：chemical experiments
地幔热柱：mantle plume
脱硫技术：desulfurization technology
清洗方法：Cleaning method
废气治理：waste gas treatment
微波萃取：microwave-assisted extraction
除砷：arsenic removal
染色废水：dyeing wastewater
核桃壳：walnut shell
灰色聚类法：grey clustering method
发展史：developing history
密封圈：seal ring
螺旋升流式反应器：spiral up-flow reactor
产业组织理论：industrial organization theory
阳离子交换容量：cation exchange capacity
灾害防治：disaster prevention
流域：drainage area
维护管理：maintenance and management
堆积密度：bulk density
原煤：raw coal
地铁施工：metro construction
电子垃圾：electronic waste
复合水泥：composite cement
行为科学：behavior science
石油产品：petroleum products
柱后衍生：Post-column derivatization
大气沉降：Atmospheric Deposition
环境质量评价：environmental quality evaluation
吸收截面：absorption cross-section
激光拉曼光谱：Laser Raman spectra
餐厨垃圾：food waste
感潮河段：tidal reach
生态与环境：ecology and environment
质量控制体系：quality control system
生物因子：biological factors
管道检测：pipeline detection
水泥厂：Cement plant
熔融行为：melting behavior
次生灾害：secondary disaster
有机涂层：organic coatings
工艺设备：Process equipment
实验技术：experimental technology
环境暴露：Environmental exposure
氮同位素：nitrogen isotope
绿化树种：greening tree species
风速：air velocity
环境伦理：environment ethics
超超临界锅炉：ultra-supercritical boiler
全球气候变暖：global warming
环境纠纷：environmental dispute
非均相催化：heterogeneous catalysis
声环境：acoustic environment
个人风险：individual risk
好氧发酵：aerobic fermentation
气升式反应器：airlift reactor
无机碳：inorganic carbon
定量评估：quantitative assessment
水溶性壳聚糖：water-soluble chitosan
溶剂化效应：solvent effect
灾害评估：disaster evaluation
体积膨胀：volume expansion
应用方法：application method
内河：Inland river
掩蔽剂：masking agent
荧光原位杂交技术：fluorescence in situ hybridization
失效机制：failure mechanism
资源型城市：resources-based cities
危岩：dangerous rock
测量原理：measuring principle
滇西北：northwestern Yunnan
稻麦轮作：rice-wheat rotation
自养反硝化：autotrophic denitrification
过氧化钙：calcium peroxide
动态过滤：dynamic filtration
单窗算法：mono-window algorithm
可靠性分配：reliability distribution
中国科学院：Chinese Academy of Sciences
土壤健康：Soil health
属性分析：attribute analysis
研究型教学：research teaching
低频噪声：low-frequency noise
浅水湖泊：shallow lakes
单质硫：elemental sulfur
PRED系统：PRED system
火力发电：thermal power generation
蒸汽动力系统：steam power system
球形容器：spherical vessel
烟气运动：smoke movement
离心通风机：centrifugal fan
高负荷：high load
高放废物：high level radioactive waste
森林覆盖率：forest coverage
环流形势：Circulation pattern
稳定性同位素：Stable Isotope
厌氧生物降解：Anaerobic biodegradation
攀枝花市：Panzhihua city
昆明地区：Kunming area
盐水入侵：saltwater intrusion
恢复演替：restoration succession
平衡控制：balance control
管理研究：Management research
统筹：Overall planning
社会作用：social function
岸坡：bank slope
国民经济评价：national economy evaluation
投资模式：investment mode
电磁测量：electromagnetic measurement
平均路径长度：average path length
网络层次分析法：analytic network process
漳州市：Zhangzhou city
风沙土：aeolian sandy soil
自然地理学：physical geography
羊草草原：Leymus chinensis grassland
可持续控制：sustainable control
非市场价值：non-market value
氮收支：nitrogen budget
全民教育：education for all
水泥行业：cement industry
土地生态：land ecology
挥发性有机物：volatile organic compounds(VOCs)
醋酸锌：zinc acetate
石膏矿：gypsum mine
铅锌矿：lead-zinc mine
生物入侵：Biological invasions
高炉矿渣：blast furnace slag
最近邻聚类算法：nearest neighbor clustering algorithm
印刷线路板：printed circuit board
水介质：aqueous media
微生物修复：Microbial remediation
跨流域调水：inter-basin water transfer
单壁碳纳米管：single-wall carbon nanotube
紫外辐照：UV irradiation
抗菌剂：antimicrobial agent
水相：water phase
时空变化：spatio-temporal variation
脉冲电晕放电：pulse corona discharge
SBR法：SBR method
天然有机物：natural organic matter
污泥活性：Sludge activity
运行成本：running cost
重金属胁迫：heavy metal stress
活性污泥模型：Activated Sludge Model
湿法氧化：wet oxidation
正交法：Orthogonal design
环境生物学：environmental biology
环境事件：environmental events
比阻：specific resistance
气象因子：weather factor
序批式活性污泥法：sequencing batch reactor
生态道德：ecological morality
清洁发展机制(CDM)：clean development mechanism(CDM)
金鱼藻：Ceratophyllum demersum
球形芽孢杆菌：Bacillus sphaericus
浑善达克沙地：Otindag Sandy Land
铁屑：scrap iron
制浆造纸：pulping and papermaking
吹脱：air stripping
理论模拟：theoretical simulation
优化组合：optimal combination
有机锡化合物：Organotin Compounds
污染监测：Pollution monitoring
河流污染：river pollution
灭火剂：fire extinguishing agent
烟气流动：smoke movement
土壤原生动物：soil protozoa
液相微萃取：Liquid Phase Microextraction
木质素磺酸钙：calcium lignosulfonate
痕量金属：trace metal
电解二氧化锰：Electrolytic manganese dioxide
价态：valence state
黄河水：Yellow River water
红外分光光度法：infrared spectrophotometry
顺序注射分析：sequential injection analysis
室内污染：indoor pollution
现场总线控制系统：field bus control system
海口市：Haikou City
微生物区系：microbial flora
亚硫酸铵：ammonium sulfite
产业生态：industrial ecology
农业污染：agricultural pollution
乳酸丁酯：butyl lactate
敏感指标：sensitive index
木材防腐：wood preservation
葡萄糖脱氢酶：glucose dehydrogenase
相对生长速率：relative growth rate
油池火：pool fire
辐射安全：Radiation safety
隆线溞：Daphnia carinata
质量比：Mass ratio
可持续发展观：sustainable development
颗粒有机碳：particulate organic carbon
PSR模型：PSR model
谱分布：size distribution
强化一级处理：enhanced primary treatment
动物保护：animal protection
结构效应：structural effect
全球环境变化：global environmental change
螯合纤维：chelating fiber
脱氮硫杆菌：Thiobacillus denitrificans
流场分布：flow field distribution
总体规划：general plan
水化活性：hydration activity
条件价值法：contingent valuation method
安全稳定：Safety and stability
工频：power frequency
空间预测：Spatial prediction
微生物传感器：microbial sensor
管理对策：management measures
改进模型：improved model
雷电灾害：lightning disaster
物元理论：matter-element theory
理论渊源：theoretical origin
铁细菌：Iron bacteria
扩散渗析：diffusion dialysis
气体燃料：gas fuel
发展能力：development capacity
Bt：Bacillus thuringiensis
天津地区：Tianjin area
涠洲岛：Weizhou Island
组织与管理：organization and management
工业废弃地：industrial wasteland
质膜透性：membrane permeability
稀有鮈鲫：Gobiocypris rarus
内蒙古自治区：Inner Mongolia
城市生态学：Urban ecology
调水工程：water diversion project
土地可持续利用：land sustainable use
登记制度：Registration system
栅格数据：grid data
密云县：Miyun County
过氧化氢酶活性：catalase activity
海洋化学：marine chemistry
制度管理：system management
沼气池：biogas digester
林业建设：forestry construction
基本模式：basic model
随机理论：Stochastic theory
分子标志物：Molecular Markers
危机事件：Crisis event
易损性分析：vulnerability analysis
决策理论：decision theory
城市规模：city size
城市系统：urban system
调车机车：shunting locomotive
居住社区：Residential community
洪水管理：flood management
土壤pH值：soil pH value
公众满意度：public satisfaction
协作机制：cooperation mechanism
磷酸酶活性：phosphatase activity
动态均衡：dynamic equilibrium
大鹏湾：Dapeng Bay
自由发展：free development
燕山水库：Yanshan Reservoir
水交换：Water exchange
环境矿物学：environmental mineralogy
跨文化比较：cross-cultural comparison
电厂：power station
节能减排：energy saving and emission reducing
气升式环流反应器：airlift loop reactor
应用进展：application progress
冷却速度：cooling velocity
氟化钙：calcium fluoride
精馏塔：rectification tower
污泥负荷：sludge loading
可降解塑料：degradable plastics
区域生态安全：regional ecological security
多样性指数：biodiversity index
黄石市：Huangshi City
离子吸附：ion adsorption
废轮胎：waste tire
资源回收：resource recovery
好氧堆肥：aerobic compost
煤气发生炉：gas producer
溃坝：dam failure
农业废弃物：agricultural wastes
可拓工程：extension engineering
主观评价：Subjective assessment
红外吸收光谱：infrared absorption spectrum
电解法：electrolytic method
系统聚类：hierarchical clustering
气流分布：gas flow distribution
铅同位素：Pb isotope
基体效应：Matrix effects
聚合氯化铁：polyferric chloride
突变模型：catastrophe model
动态评估：Dynamic Assessment
人类中心主义：human centralism
凝胶色谱：gel chromatography
斑点叉尾鮰：channel catfish
环境退化：environmental degradation
富氢气体：hydrogen-rich gas
高炉渣：BF slag
工艺特点：technology characteristics
雅砻江：Yalong River
海洋管理：marine management
适宜性评价：suitability assessment
序批式间歇反应器：sequencing batch reactor
高斯模型：Gauss model
氢氧化锂：lithium hydroxide
经济指标：economic indicator
变量筛选：variable selection
纯氧：pure oxygen
溶藻细菌：Algicidal bacteria
建材：Building material
非均相反应：heterogeneous reaction
调查方法：investigation method
鳙鱼：bighead carp
碳糊修饰电极：modified carbon paste electrode
基因水平转移：horizontal gene transfer
钛渣：titanium slag
物料衡算：material balance
水质保护：water quality protection
日本政府：Japanese government
氧化处理：oxidation treatment
溶解有机碳：dissolved organic carbon
刺五加：Acanthopanax senticosus Harms
生态环境建设：Eco-environment construction
残留动态：Residue dynamics
宣传教育：publicity and education
地球物理方法：Geophysical method
含硫量：sulfur content
抑制效应：inhibitory effect
风险源：risk source
模型模拟：Model simulation
乐清湾：Yueqing bay
非饱和带：unsaturated zone
摇蚊幼虫：chironomid larvae
纺织厂：Textile Mill
噪声衰减：noise attenuation
煤炭城市：Coal city
保护环境：environmental protection
放射防护：Radiological protection
平原河网：plain river network
生态园林城市：ecological garden city
控制排水：controlled drainage
环境系统：environmental system
热岛效应：urban heat island effect
日常管理：daily management
节约型社会：conservation-minded society
有机废弃物：organic waste
风险指数：risk index
海洋灾害：marine disaster
补偿机制：compensation system
气体爆炸：gas explosion
间质细胞：Leydig cells
叠加分析：overlay analysis
中小城市：medium and small cities
漏风率：air leakage rate
条件分析：condition analysis
遵义市：Zunyi city
绿色技术创新：green technology innovation
复合系统：complex system
区域供热：district heating
白石水库：Baishi reservoir
价值核算：Value accounting
法律障碍：legal obstacles
潜在价值：potential value
植物生态学：plant ecology
直流电：Direct Current
土壤细菌：soil bacteria
区域尺度：Regional scale
红河州：HongHe prefecture
碳库：carbon pool
经济激励：economic incentive
交通流量：traffic volume
水资源优化配置：optimal allocation of water resources
电子文档：electronic document
哲学内涵：Philosophical connotation
多米诺效应：Domino effect
色素含量：pigment content
小农经济：small-scale peasant economy
后备力量：reserve forces
法律完善：legal perfection
元素碳：Elemental carbon
白腐真菌：white-rot fungi
高效液相色谱-质谱：High performance liquid chromatography-mass spectrometry
粘粒含量：clay content
好氧降解：aerobic degradation
生态政治：ecological politics
电化学技术：electrochemical technique
高级氧化技术：advanced oxidation processes
吸附动力学：adsorption dynamics
变性梯度凝胶电泳(DGGE)：denaturing gradient gel electrophoresis(DGGE)
操作参数：operation parameters
煤化工：coal chemical engineering
煤矿安全：coal mine security
信息化技术：Information technology
胞外聚合物：extracellular polymeric substances(EPS)
脱硫率：desulfurization rate
质量保证：quality control
生物脱硫：biological desulfurization
白水：white water
矿产资源开发：Mineral resources exploitation
GM(1,1)模型：GM (1,1) model
环境保护法：environmental protection law
川东北：northeastern Sichuan
元素组成：elemental composition
ClO2：chlorine dioxide
纳滤膜：nanofiltration membranes
山仔水库：Shanzi Reservoir
梅梁湾：Meiliang Bay
TiO2薄膜：TiO_2 thin films
绿色学校：green school
溶解性有机质：dissolved organic matter
芳香族化合物：aromatic compounds
方法比较：method comparison
实时优化：real-time optimization
植物吸收：plant uptake
污泥减量化：sludge reduction
小叶章：Calamagrostis angustifolia
锰氧化物：manganese oxide
地球化学特征：geochemistry characteristics
染整工业：dyeing and finishing industry
山地：mountainous area
废橡胶：waste rubber
草浆：straw pulp
渗滤液回灌：leachate recirculation
脱水污泥：dewatered sludge
临界通量：critical flux
染料脱色：dye decolorization
酸性废水：Acidic wastewater
生态质量：ecological quality
有机过氧化物：Organic peroxide
降解特性：degradation characteristics
生物滴滤塔：bio-trickling filter
苏里格气田：Sulige Gasfield
污泥浓缩：sludge thickening
净化机理：purification mechanism
氡及其子体：radon and its daughters
滴流床反应器：trickle bed reactor
过剩空气系数：Excess air coefficient
国内外：home and abroad
生态位理论：niche theory
长江上游：upper reaches of Yangtze River
湿地保护：wetland conservation
评价分析：evaluation and analysis
露天开采：Open-pit mining
日本三角涡虫：Dugesia japonica
非热效应：non-thermal effect
铁电极：iron electrode
大气压力：atmospheric pressure
安全投入：safety input
根际微生物：rhizosphere microbes
大气环境质量：atmospheric environmental quality
铜渣：copper slag
生命线系统：lifeline system
酚红：phenol red
水环境保护：water environmental protection
抑爆：explosion suppression
锰离子：Manganese ion
生产流程：production process
西藏自治区：Tibet Autonomous Region
水热晶化：hydrothermal crystallization
生态响应：ecological response
16SrDNA序列：16S rDNA sequence
协调发展度：coordinated development degree
环境毒理学：environmental toxicology
奥利亚罗非鱼：Oreochromis aureus
生态社区：ecological community
铁基催化剂：Iron-based catalyst
管井：tube well
电气安全：electrical safety
珠江流域：Pearl River Basin
氮素流失：nitrogen loss
锶铁氧体：strontium ferrite
矿井建设：Mine construction
人工湖：artificial lake
镁粉：magnesium powder
污水泵：sewage pump
海淀区：Haidian district
大气监测：atmospheric monitoring
文化建设：cultural building
磁性分离：Magnetic separation
AnnAGNPS模型：AnnAGNPS model
驻波场：standing wave field
多年生黑麦草：Lolium perenne L
技术框架：technical framework
土柱：soil column
控制要点：control points
生命周期成本：life cycle cost
传输模型：transmission model
联立方程：Simultaneous Equations
基本制度：basic system
稻草秸秆：rice straw
安全信息：safety information
净化处理：Purification treatment
冗余技术：redundant technology
大叶黄杨：Euonymus japonicus
结构类型：structural type
氰尿酸：Cyanuric acid
玛纳斯河流域：Manas River basin
分布特点：distribution characteristics
膜系统：membrane system
三亚湾：Sanya Bay
Dijkstra算法：Dijkstra arithmetic
温室土壤：Greenhouse soil
内分泌系统：Endocrine system
土壤分析：soil analysis
LINGO软件：LINGO software
滨州市：Binzhou City
土壤线虫：Soil nematodes
风险对策：risk countermeasure
期权定价理论：option pricing theory
环境考古：environmental archaeology
温湿度传感器：temperature and humidity sensor
大连地区：Dalian area
银汞合金：Silver amalgam
永州市：Yongzhou city
风险分类：risk classification
环网：ring network
项目策划：project planning
共同代理：common agency
电力调度：power dispatching
农业信息化：agriculture informatization
水文分析：hydrological analysis
地下河：underground river
拉美：Latin America
趋势系数：Trend coefficient
CLUE-S模型：CLUE-S model
公民文化：Civil Culture
联邦政府：federal government
废电池：Waste battery
局地环流：local circulation
支付意愿：willingness to pay(WTP)
矿化度：mineralization degree
汽车尾气：automotive exhaust
模拟优化：simulation and optimization
化学还原法：chemical reduction method
元素分析：ultimate analysis
CASS工艺：CASS process
大气降水：atmospheric precipitation
离子交换树脂：ion exchange resins
羧基：carboxyl group
检验方法：inspection method
六氟化硫：Sulfur hexafluoride
发酵温度：fermentation temperature
膜改性：membrane modification
油水分离：oil/water separation
复杂性科学：complex science
家具企业：Furniture enterprise
卤虫：Artemia Salina
酸性水：sour water
灵敏系数：Sensitivity coefficient
