有限元：finite element
复应力强度因子：complex stress intensity factor
缓冲特性：cushioning properties
疲劳开裂：fatigue crack
模场直径：mode field diameter
水反应金属燃料：hydroreactive metal fuel
国际空间站：international space station
低温流体：Cryogenic fluid
脉动燃烧：pulsating combustion
传动间隙：transmission clearance
压力控制系统：pressure control system
综合测试系统：integrated test system
挤压效应：extrusion effect
响应控制：response control
反馈神经网络：recurrent neural networks
校准装置：calibrating device
流动与传热：fluid flow and heat transfer
单自由度：single freedom
危险截面：dangerous section
分布指数：Distribution index
重离子：heavy ions
高温形变：high temperature deformation
核磁共振波谱法：Nuclear magnetic resonance spectroscopy
多级火箭：multi-stage rocket
点火瞬态过程：ignition transient
压气机盘：compressor disk
流体系统：fluid system
运动模式：motion model
知识更新：knowledge updating
关断时间：Turn off time
欠压保护：under-voltage protection
激光遥感：Laser remote sensing
地球曲率：Earth curvature
非线性最小二乘法：nonlinear least squares
ITAE指标：ITAE index
响应误差：response error
损伤容限设计：damage tolerance design
载荷分配：Load sharing
系统构架：system framework
数字化制造：digital manufacture
置换表示：permutation representation
船体变形：hull deformation
移动视频监控：mobile video surveillance
稳定精度：stabilization precision
叶片裂纹：Blade cracks
极点约束：pole constraint
截获概率：acquisition probability
S弯进气道：S-shaped inlet
控制律设计：control law design
挠性附件：flexible appendage
四元数法：Quaternion Method
文明社会：civilized society
Dempster-Shafer证据理论：Dempster-Shafer theory of evidence
工作特性：working performance
机场建设：airport construction
着舰：carrier landing
电容检测：capacitive detection
振动传递：vibration transfer
压力控制器：pressure controller
动网格技术：dynamic mesh technique
燕尾榫：Dovetail joint
姿态控制器：Attitude controller
秒脉冲：pulses per second
液压阻尼器：hydraulic damper
目标毁伤：target damage
UHF频段：UHF band
跨声压气机：transonic compressor
旋涡破裂：vortex breakdown
脉冲爆震发动机(PDE)：pulse detonation engine(PDE)
燃烧流场：combustion flow field
实时规划：real-time planning
多处损伤：multiple site damage
纵向飞行控制：longitudinal flight control
多普勒频偏：Doppler shift
NACA0012翼型：NACA0012 airfoil
在轨服务：on-orbit servicing
能源管理系统：energy management system
无迹卡尔曼滤波：Unscented kalman filter(UKF)
气热耦合：conjugate heat transfer
大展弦比：high aspect ratio
空中加油：aerial refueling
UPF：unscented particle filter
装配型架：assembly fixture
维修性验证：maintainability demonstration
拖靶：tow target
破裂转速：burst speed
中继卫星：tracking and data relay satellite
指派模型：assignment model
二元机翼：two-dimensional airfoil
尾喷焰：Exhaust plume
战场侦察：battlefield reconnaissance
初始聚类中心：initial cluster centers
Boltzmann模型方程：Boltzmann model equation
轨道根数：Orbit elements
自主天文导航：Autonomous celestial navigation
深空探测器：Deep space probe
部件级模型：component-level model
低循环疲劳寿命：low cycle fatigue life
超视距空战：beyond visual range air combat
摇摆：rolling motion
雷达管制：radar control
比例溢流阀：Proportional relief valve
互连测试：interconnection test
转速测量：rotational speed measurement
发动机性能参数：Motor performance parameter
超声速边界层：supersonic boundary layer
航空成像：aerial imaging
环形激光陀螺：ring laser gyro
数据处理流程：data processing flow
测距精度：Range accuracy
四频差动激光陀螺：differential laser gyro
总压恢复系数：total pressure recovery
双星定位系统：Double-star positioning system
磁致伸缩位移传感器：magnetostrictive displacement sensor
测角：angle measuring
空时二维自适应处理：Space-time adaptive processing
质量矩：moving mass
多故障诊断：multi-fault diagnosis
重力梯度仪：gravity gradiometer
流量优化：flow optimization
基准图：reference image
回路成形：Loop shaping
布局方案：layout scheme
平台罗经：platform compass
输入整形器：Input shaper
发展应用：development and application
磁补偿：magnetic compensation
伺服回路：servo loop
方向控制：direction control
并行子空间优化：concurrent subspace optimization
障碍识别：obstacle recognition
电动加载：Electric loading
角速率：angular rate
气动弹性稳定性：aeroelastic stability
扇区划分：sector partition
动圈：moving coil
直升机设计：helicopter design
空间物体：space object
绳牵引并联机构：wire-driven parallel manipulator
卫星导航定位系统：satellite navigation system
随机调制：random modulation
高阶单步法：high order single step method
共线平动点：Collinear Libration Point
相对状态：relative state
燃油喷嘴：fuel nozzle
信道复用：channel multiplexing
扰动补偿：disturbance compensation
超临界机翼：supercritical wing
UKF滤波：Unscented Kalman filter
仿真验证：simulation verification
机电作动器：Electromechanical actuator
可靠性函数：reliability function
贫油熄火：lean blowout
PMAC运动控制器：PMAC motion controller
Unscented卡尔曼滤波(UKF)：unscented kalman filter(UKF)
粒子成像测速仪：particle image velocimetry
PowerPC：Power PC
分解优化：decomposition optimization
积分滑模：integral sliding mode
空间遥感：space remote sensing
飞行程序：flight program
维修设计：maintenance design
Allan方差法：allan variance
空间碎片：orbital debris
力反馈回路：Force Feedback Loop
时序设计：timing design
高压涡轮：High pressure turbine
正交误差：quadrature error
快速定位：rapid positioning
飞机积冰：aircraft icing
侧向控制：lateral control
汽水两相流：steam-water two-phase flow
断裂参数：fracture parameter
旋涡运动：vortex flow
红外辐射特性：infrared radiation characteristic
结构强度分析：structural strength analysis
DOA：direction of arrival
普朗特数：Prandtl number
刚体航天器：rigid spacecraft
模糊动态AHP：fuzzy dynamic AHP
小卫星星座：Small satellite constellation
远程导弹：Long-range missile
小偏差：small deviation
不平衡振动：unbalance vibration
Reason模型：Reason model
直接序列扩频通信：direct sequence spread spectrum
直接自适应：direct adaptive
位移损伤：displacement damage
显式制导：Explicit guidance
应力调整：Stress adjustment
数字图像压缩：Digital image compression
增益矩阵：gain matrix
二次筛选：secondary screening
航天遥感：space remote sensing
流体仿真：fluid simulation
光束平差：bundle adjustment
反作用力：Reacting force
脉宽调制技术：pulse width modulation
空天飞机：aerospace plane
BGK方程：BGK equation
无人飞艇：unmanned airship
IEEE1451：IEEE 1451
变形校正：distortion correction
重心算法：centroid algorithm
稀疏数据：sparse data
综合关联度：comprehensive correlative degree
数值重建：numerical reconstruction
地球静止轨道卫星：geostationary satellite
石英音叉：quartz tuning fork
单搭接头：single-lap joint
类地行星：terrestrial planet
圆型限制性三体问题：circular restricted three-body problem
脊状表面：riblet surface
H_∞回路成形：H_∞loop shaping
过氧化氢(H_2O_2)：hydrogen peroxide (H_2O_2)
信息重构：information reconstruction
冲突解脱：conflict resolution
点位精度：positional accuracy
层次网络：hierarchical network
飞机尾流：Aircraft wake vortex
鸟击：Bird strike
层错能：fault energy
预测建模：forecast modeling
综合规划：comprehensive plan
聚酰亚胺泡沫：polyimide foam
收敛因子：Constriction factor
智能材料与结构：smart materials and structures
物元分析法：matter element analysis method
经验模型：Experience model
灰度值：grey level
有限元分析软件：finite element analysis software
界面断裂：interfacial fracture
导向叶片：Guide Vane
破坏载荷：failure load
超低温：cryogenic temperature
多尺度模型：multi-scale model
操纵机构：control mechanism
标准化工作：standardization work
长宽比：aspect ratio
载荷传递：load transfer
气体发生剂：gas generator
数控设备：numerical control device
临界尺寸：critical dimension
视场：field of vision
覆盖能力：covering power
成本评估：cost evaluation
水槽：water trough
混合进化算法：hybrid evolutionary algorithm
交换式以太网：switching ethernet
频宽：frequency width
装配规划：assembly plan
微位移：Tiny displacement
分类分析：classified analysis
应用层协议：application protocol
维修技术：Maintenance Technology
金属膜片贮箱：metal diaphragm tank
蒙皮：aircraft skin
发射场：Launch site
无反射边界条件：non-reflecting boundary conditions
结构阻尼：structure damping
热控制：thermal management
探测效率：detector efficiency
均匀试验设计：uniform experiment design
气路：gas circuit
镜面反射：mirror reflection
特征尺寸：characteristic dimension
数值验证：numerical verification
液体火箭：liquid rocket
陶瓷模具：ceramic die
多项式模型：multinomial model
冷却结构：Cooling Structure
准静态方法：quasi-static method
空载：no load
变形协调：compatibility of deformation
空间材料：space materials
谐振子：harmonic oscillators
二硝酰胺铵(ADN)：ammonium dinitramide(ADN)
遥测技术：telemetry technology
动态网络流：dynamic network flow
ID3算法：ID3 arithmetic
滑动最小二乘法：moving least square method
嵌套网格：nested grid
模拟装置：simulation device
数据分类：data classifying
高空环境：high altitude environment
传感器技术：Transducer technology
东南沿海地区：southeast coastal area
热膜：hot film
燃烧模型：burning model
图像系统：Image system
总烃：total hydrocarbons
太阳吸收比：solar absorptance
辐射热损失：radiative heat loss
旋流发生器：swirl generator
模态控制：modal space control
卫星地面站：satellite earth station
结构疲劳：structural fatigue
行走系统：walking system
电源控制器：power controller
生产质量：Production quality
计数电路：Count Circuit
装配信息：assembly information
屈曲失稳：buckling instability
点火延时：ignition delay time
最小二乘算法：least squares
时间延迟：time lag
周期性误差：Periodic error
最小二乘方法：Least squares method
控制效率：Control efficiency
固体发动机：Solid engine
最优控制律：optimal control law
增益调度控制：gain scheduling control
体积力：volume force
加载轨迹：loading trajectory
自持振荡：self-sustained oscillation
燃料供应：fuel supply
旋翼桨叶：rotor blades
效果评估：Evaluation of effect
滚动角：sliding angle
激励方法：incentive method
人因工程学：Human factors engineering
多柔体动力学：flexible multi-body dynamics
姿控发动机：attitude control engine
多体航天器：multi-body spacecraft
飞机钣金零件：aircraft sheet metal parts
非线性约束：non-linear constraint
反时限保护：inverse-time protection
叶尖间隙高度：tip clearance height
混沌振荡：chaos oscillation
综合航电系统：integrated avionics system
月球探测：Moon exploration
变结构理论：Variable structure theory
大角度机动：Large-angle maneuver
自主导航：Automatic navigation
混合滤波：Mixed filter
结构仿生：structural bionics
机翼颤振：Airfoil flutter
大飞机：large aircraft
反潜直升机：antisubmarine helicopter
阻尼振荡：damped oscillation
热颤振：Thermal flutter
舰载直升机：ship-borne helicopter
气动优化设计：aerodynamic optimization
模糊应力：fuzzy stress
区域目标：area target
视频记录：video recording
集合理论：set theory
铁心损耗：Iron losses
鸟害：bird pest
延迟锁定环：delay-locked loop
分布式供电：distributed power supply
多目标攻击：multi-targets attacking
飞行器控制和导航技术：control and navigation technology of aerocraft
空间环境效应：space environment effects
传感器配置：sensor placement
仿生优化：bionic optimization
高分辨率卫星影像：high resolution satellite image
旋转载体：rotating carrier
挠性振动：flexible vibration
悬停控制：hovering control
小天体：Small body
代数算法：algebraic algorithm
红外热像技术：infrared thermal imaging technique
离心式压气机：centrifugal compressor
介观压阻效应：meso-piezoresistance effect
起飞性能：takeoff performance
柔性翼：flexible wing
伪码测距：pseudo code ranging
改进A*算法：improved A* algorithm
气动参数：aerodynamic parameters
任务效能：mission effectiveness
喷射特性：injection characteristic
锥形运动：coning motion
非线性气动弹性：nonlinear aeroelasticity
工程估算：engineering estimation
电磁影响：electromagnetic effect
旋转导弹：rolling missile
动量管理：momentum management
星图模拟：star image simulation
区间数判断矩阵：interval number judgment matrix
LMI(线性矩阵不等式)：LMI(linear matrix inequality)
自主式导航：Autonomous navigation
旋转弹：Spinning Projectile
复图像：complex image
成像侦察卫星：imaging reconnaissance satellite
宽高比：aspect ratio
液氧贮箱：liquid oxygen tank
直接力：direct force
时钟误差：clock error
基于模型：model based
根轨迹法：root locus method
Re数：Reynolds number
纳卫星：nano satellite
光电跟踪系统：electro-optical tracking system
电磁仿真：electromagnetism simulation
航天相机：aerospace camera
分布式诊断：Distributed diagnosis
周向槽：circumferential groove
8051IP核：8051 IP core
参数自整定：parameter self-adjusting
进气道设计：inlet design
随机子空间方法：stochastic subspace identification
现场校准：on-the-spot calibration
飞行参数记录系统：flight data recorder
动力传动：power transmission
规划与调度：planning and scheduling
维修方式：maintenance mode
假目标干扰：false target jamming
军事需求：military requirements
双转子系统：dual-rotor system
机场终端区：airport terminal area
散射测量：scattering measurement
抛物化稳定性方程：parabolized stability equation
光电设备：photoelectric equipment
欠驱动航天器：underactuated spacecraft
装配工艺设计：assembly process planning
气体二次喷射：secondary gas injection
供应保障：supply support
功率电传：power by wire
直接数字合成器：direct digital synthesizer
潜在故障：potential failure
阵风减缓：gust alleviation
红外加热笼：infrared heating cage
机翼结构：wing structure
落点偏差：impact point deviation
空间作战：space warfare
矢量推力：vector thrust
编队卫星：Formation flying satellites
试验评定：experimental assessment
噪声试验：acoustic test
通用航空飞行器：common aero vehicle
自激驱动：self-excited driving
对地攻击：ground attack
平板三角翼：flat-plate delta wing
非保守系统：non-conservative systems
进化理论：evolution theory
防空作战：air-defense combat
VxWorks：Vx Works
结冰风洞：icing wind tunnel
吸力面：suction surface
燃烧室性能：combustor performance
可靠性灵敏度分析：Reliability sensitivity analysis
综合化航空电子系统：integrated avionics system
电液负载模拟器：Electro-hydraulic load simulator
颤振主动抑制：active flutter suppression
空间推进系统：space propulsion system
序贯滤波：sequential filter
导航精度：Navigation accuracy
交叉定标：cross calibration
虚拟网格：virtual grid
终点弹道学：terminal ballistics
高超音速飞行器：hypersonic vehicle
直接模拟蒙特卡罗法：direct simulation Monte Carlo method
安检：security inspection
平方根滤波：square root filter
区段混合能：interval mixed energy
LMS自适应滤波器：LMS adaptive filter
装配技术：assembly technology
胶接结构：Bonding structure
非定常风洞：unsteady wind tunnel
激光干扰：laser interference
相对轨道确定：Relative orbit determination
攻防：attack and defense
快速扩展随机树：rapidly-exploring random tree
加权法：weighting method
卫星通信系统：satellite communication systems
结构不变性原理：Structure invariance principle
盲识别：blind recognition
相对位姿：relative pose
太赫兹脉冲：terahertz pulse
三角形算法：Triangle algorithm
附件机匣：Accessory gearbox
滚珠轴承：ball bearing
对地观测卫星：Earth observation satellite
不确定性设计：uncertainty design
尾焰：exhaust plume
性能衰退：performance degradation
封锁概率：blockage probability
捷联姿态算法：Strapdown attitude algorithm
差别矩阵：differential matrix
附面层分离：boundary layer separation
共模故障：common mode failure
电驱动：electric drive
民航飞机：civil aircraft
滤波技术：filtering technology
供应系统：supply system
微波着陆系统：Microwave landing system
振荡叶栅：oscillating cascade
再入体：reentry vehicles
计算机测控系统：computer control system
抖振控制：buffeting control
涵道尾桨：ducted tail rotor
地面模拟试验：ground simulation test
空中发射：air launch
联合滤波：federated filter
压缩效率：compression efficiency
结构非线性：structural nonlinearity
正向运动学：forward kinematics
壁面温度：wall temperature
空中交通管制(ATC)：Air Traffic Control(ATC)
小突片：small tabs
多维分配：multi-dimension assignment
弹簧近似：spring analogy
常值漂移：Constant drift
备用系统：standby system
纠正措施：Corrective Action
军用机场：military airfield
数字上变频：digital up converter
超声速巡航：supersonic cruise
CCD拼接：CCD butting
保障设备：support equipment
劳斯判据：Louts criterion
热诱发振动：thermally induced vibration
平均推力：average thrust
速度增量：velocity increment
激励频率：exciting frequency
PetriNets：petri Nets
时域反射法：time domain reflectometry
图像处理器：image processor
测姿：attitude determination
气体喷射：Gas injection
混合增强：Mixing enhancement
无喷管助推器：Nozzleless booster
任务驱动法：task driving method
限制性三体问题：Restricted Three-Body Problem
飞机拦阻系统：aircraft arresting system
风扇叶片：fan blade
被动式加载系统：passive loading system
显式表达式：explicit expression
耦合变形：coupling deformation
主动振动抑制：active vibration suppression
衰减记忆：fading memory
导航定位系统：navigation positioning system
航天器轨道：spacecraft orbit
二次监视雷达：secondary surveillance radar
激波/边界层干扰：shock wave/boundary layer interaction
Sage-Husa自适应滤波：Sage-Husa adaptive filter
ZBLAN玻璃：ZBLAN glass
虚拟试验系统：Virtual test system
全球卫星定位系统(GPS)：Global positioning system (GPS)
引射式冲压发动机：Ejector ramjet engine
引射模态：Ejector mode
航天结构：space structure
模态法：modal method
飞行环境：flight environment
特征值分析法：eigenvalue analysis method
矩形断面：rectangular section
多普勒展宽：Doppler broadening
气动损失：aerodynamic loss
圆锥补偿算法：coning compensation algorithm
裂纹损伤：crack damage
坐标旋转数字计算机算法：CORDIC algorithm
国外标准：foreign standard
鸟类保护：bird conservation
障碍探测：obstacle detection
状态转换图：state transition graph
代数图论：algebraic graph theory
AltiVec技术：AltiVec technology
功率预算：power budget
星空背景：celestial background
阻抗失配：impedance mismatch
圆极化天线：Circularly polarized antenna
传感阵列：sensor array
电动负载模拟器：Electric load simulator
UKF算法：UKF algorithm
覆盖模型：overlay model
非线性状态观测器：nonlinear state observer
姿态测定：attitude determination
传统PID控制：Traditional PID control
平衡截断：balanced truncation
卫星仿真：satellite simulation
任务建模：Task Modeling
机队规划：fleet planning
PLD：programmable logic device
附加阻力：Additive drag
输入成形：input shaping
色指数：color index
同步串行通信：synchronous serial communication
空间对接机构：space docking mechanism
地外生命：extraterrestrial life
地磁匹配制导：geomagnetism matching guidance
转子动力：rotor dynamics
操纵负荷系统：Control loading system
操纵响应：control response
数字化预装配：digital pre-assembly
水下发射：Underwater launching
多孔介质燃烧：porous media combustion
火星探测器：Mars probe
飞机液压系统：Aircraft Hydraulic System
环境减灾-1A、1B卫星：HJ-1A/1B satellites
油膜厚度：lubricant film thickness
核磁共振法：nuclear magnetic resonance spectroscopy
分布式控制：decentralized control
标准分析：standard analysis
广义最小方差：generalized minimum variance
气密层：inner liner
元素含量：element contents
热毁伤：thermal damage
极化特性：polarization characteristic
推重比：thrust-weight ratio
密闭爆发器：manometric bomb
入口温度：Inlet Temperature
力学试验：Mechanical testing
球形颗粒：spherical particles
弹性常数：elastic properties
预警卫星：early-warning satellite
单元法：element method
Ti2AlNb基合金：Ti2AlNb-based alloy
流量调节：flow adjustment
长裂纹：long crack
热平衡分析：thermal balance analysis
细水雾：fine mist
滑环：slip ring
深孔加工：deep-hole machining
热物理性能：Thermo-physical properties
数控加工技术：NC machining technology
面内刚度：in-plane stiffness
海洋大气：marine atmospheric
图像检测：image measure
高温拉伸：high temperature drawing
超细碳酸钙：Ultrafine CaCO3
空间稳定性：space stability
在线预测：online predicting
航空燃料：jet fuel
深孔钻：deep-hole drilling
安全评判：safety evaluation
攻角：Impact angle
团聚硼：agglomerated boron
气流速度：air velocity
界面技术：interface technique
振动抑制：vibration control
航空轮胎：aircraft tire
铝合金材料：aluminum alloy material
氦质谱检漏：helium mass spectrometer leak detection
激波反射：shock reflection
电磁约束成形：electromagnetic shaping
倾覆力矩：overturn moment
层压板：laminated board
形成因素：formative factors
离子探针：ion microprobe
酚醛纤维：phenolic fibers
角锥棱镜：cube-corner retroreflector
火焰稳定：flame stability
升降机构：lifting mechanism
气动光学效应：aero-optical effect
人为差错：man-made error
浇注工艺：casting process
层合复合材料：laminated composite
表面腐蚀：Surface corrosion
工作方式：working mode
纤维复合材料：fiber reinforced plastic
综合环境试验：comprehensive environmental test
功能分析法：function analysis method
超声速混合：supersonic mixing
参考轨迹：reference path
镗刀：boring cutter
快速标定：fast calibration
FGH96合金：FGH96 alloy
焊接温度场：temperature field
传输电路：transmission circuit
小流量：small flow
疲劳测试：fatigue test
燃烧时间：combustion time
被动遥感：passive remote sensing
热物理性质：thermophysical property
喷射角：spray angle
载荷比：load ratio
可靠性预计：reliability estimation
变物性：temperature-dependent properties
成碳率：Char yield
标定装置：calibration equipment
四面体单元：tetrahedral element
表面酸碱性：surface acidity and basicity
二烯丙基双酚A：diallylbisphenol A
信号模型：Signal models
防热材料：thermal protection material
多学科：multi subject
电磁兼容性(EMC)：electromagnetic compatibility(EMC)
机组资源管理：crew resource management
隐身涂料：Stealth coatings
标准化设计：Standardization design
高温特性：high temperature characteristics
分散系数：dispersion coefficient
气体透过：Gas permeation
操作时间：Operation time
胶凝推进剂：gelled propellant
非最小相位系统：non minimum phase system
速度比：speed ratio
稳定燃烧：steady combustion
组合叶栅：combined cascade
雷达探测：radar detecting
聚焦系统：focus system
燃油泵：Fuel pumps
辅助控制：auxiliary control
飞机刹车：aircraft brake
合作目标：cooperation target
多层介质：multilayered media
爆燃转爆轰：Deflagration to detonation transition
位置估计：position estimate
雨流计数法：Rainflow counting method
准则法：criterion method
SPOT卫星影像：SPOT satellite image
低温风洞：cryogenic wind tunnel
蜂窝夹层板：honeycomb sandwich panel
整体模型：holistic model
动态滤波：dynamic filter
解析算法：analytic algorithm
表面温度分布：Surface temperature distribution
圆锥：conus medullaris
知识分类：classification of knowledge
飞行员选拔：pilot selection
空间实验室：space laboratory
光弹法：photoelastic method
位置逆解：inverse position
二阶滑模：second-order sliding mode
小展弦比飞翼：low aspect ratio flying wing
地理坐标：geographic coordinates
功能可靠性：functional reliability
概率分析法：probability analysis method
自适应重构控制：adaptive reconfiguration control
扩张状态观测器：Extended state observer(ESO)
研制过程：Development process
空间桁架：spatial strut-and-tie
脉冲发动机：pulse engine
密封舱：pressured cabin
极轨气象卫星：polar-orbiting meteorological satellite
转子-机匣系统：rotor-case system
推力效率：Thrust efficiency
机载设备：airborne equipments
叶顶分离涡：tip separation vortex
规划算法：Planning algorithm
联邦滤波器：Federal Filter
姿态测量系统：attitude measurement system
三轴磁强计：Three-axis magnetometer
航空总线：avionics bus
模态分析法：modal analysis
驻涡：Trapped vortex
吸能装置：energy absorption device
双时间法：dual-time method
Dijkstra：Dijkstra algorithm
航空数码相机：aerial digital camera
分离涡：separation vortex
TDICCD：TDI CCD
低温贮箱：Cryogenic tank
动态时间窗：dynamic time window
微小型飞行器：micro air vehicle
转子泵：rotor pump
补燃室：afterburning chamber
航空电缆：aviation cable
滚转角：rotation angle
空间辐射效应：space radiation effect
悬浮轨道：Displaced orbit
滑跃起飞：ski-jump takeoff
空战能力：air combat capability
飞行管理系统：flight management system
航线网络：route network
进度风险：progress risk
局部搜索策略：Local search strategy
自动频率控制：automatic frequency control(AFC)
非定常空气动力：unsteady aerodynamics
飞行载荷：flight loads
涡轮效率：turbine efficiency
机载传感器：airborne sensor
堵塞比：blockage ratio
分布式航天器：distributed spacecraft
标定试验：Calibration experiment
甚高频：Very High Frequency(VHF)
高超声速喷管：hypersonic nozzle
全寿命：total life
纵列式直升机：tandem helicopter
车载试验：vehicle test
相位差法：Phase difference
卫星测试：Satellite testing
航空网络：aviation network
超螺旋算法：super-twisting algorithm
轨道保持：orbit maintenance
电惯量：electric inertia
描述函数法：describing function method
气动负荷：aerodynamic load
协同决策：collaborative decision
硬件加速：hardware accelerated
轴流式压气机：axial compressor
纯方位目标跟踪：bearings-only target tracking
损失系数：loss coefficient
角度信号：angle signal
飞机电气负载：aircraft electric load
行星探测车：Planetary rover
测绘相机：mapping camera
伴随卫星：Concomitant satellite
飞机维护：aircraft maintenance
自动调平：auto leveling
飞行器控制：aircraft control
月球探索：lunar exploration
端燃药柱：end-burning grain
测高：height finding
再入弹道：Reentry trajectory
滑油系统：lubrication system
组合滤波：Integrated filter
工程投标：engineering bidding
叶脉：leaf vein
稳态响应：stable response
电动力缆绳：electro-dynamic tether
导弹预警：missile warning
油气混合物：fuel-air mixture
捷联式惯导系统：strapdown inertial navigation system
跟踪定位：tracking and positioning
解模糊：resolving ambiguity
编队飞行卫星：formation flying satellites
修正罗德里格参数：modified Rodrigues parameters
进气流动：intake flow
边界扫描测试：boundary scanning test
战损：battle damage
动态响应特性：dynamic response characteristics
电磁弹射：electromagnetic launch
通风冷却系统：ventilation cooling system
气动建模：aerodynamic modeling
恒星敏感器：star sensor
多重网格技术：multi-grid technique
中心计算机：central computer
脉冲爆震火箭发动机：pulse detonation rocket engine
射线寻迹：ray path tracing
传输时延：Transmission time delay
供油量：fuel delivery
超声速燃烧室：supersonic combustor
流场仿真：flow simulation
耦合影响：coupling effect
分层模糊系统：hierarchical fuzzy systems
壁面函数：wall functions
静电加速度计：electrostatic accelerometer
空管：Air Traffic Management
斜切喷管：scarfed nozzle
异常燃烧：abnormal combustion
光电平台：Opto-Electronic Platform
推力增益：thrust augmentation
遥感相机：remote sensing camera
努森数：knudsen number
热电偶传感器：thermocouple sensor
中频数字化：digital IF
气膜孔：film cooling hole
方案论证：scheme demonstration
波束同步：beam synchronization
月球着陆：lunar landing
动力学环境：dynamic environment
液压源：hydraulic source
力限：force limited
航迹跟踪：trajectory tracking
超声速风洞：supersonic wind tunnel
阈值滤波：threshold filter
移动监测：mobile monitoring
直升机控制：helicopter control
静电陀螺仪：electrostatically suspended gyroscope
自动铺带：Automated tape laying
监视系统：surveillance system
动基座对准：moving base alignment
低轨道：low earth orbit
热试车：hot-firing test
保障装备：support equipment
拉格朗日点：Lagrange point
临界平面法：critical plane method
FLASH存储：FLASH storage
圆柱谐振腔：Cylindrical cavity
视线测量：LOS measurement
采样卡尔曼滤波：unscented Kalman filter
协作优化：collaborative optimization
动态观测器：dynamic observer
总体性能：overall performance
静电耦合：electrostatic coupling
操纵台：Control Console
初制导：initial guidance
振荡机翼：oscillating airfoil
编队重构：Formation reconfiguration
风场模型：wind field model
碰集：hitting set
Stribeck摩擦模型：Stribeck friction model
多体系统传递矩阵法：transfer matrix method of multibody system
重力平衡：gravity balance
恒功率负载：constant power loads
校准技术：calibration technique
多信号流图：Multi-signal flow graphs
自修复飞行控制：self-repairing flight control
纵向控制律：longitudinal control law
需求不确定：uncertain demand
微机电陀螺：MEMS gyro
高压压气机：HP Compressor
规范型：normal forms
减振系统：Vibration isolation system
遥测信道：Telemetry channel
舱音记录器：cockpit voice recorder
开环光纤陀螺：open-loop fiber optic gyroscope
航空数据总线：Avionics data bus
燃气涡轮起动机：gas turbine starter
隧道传感器：tunneling sensor
模态叠加：Mode superposition
动静态分析：static and dynamic analysis
短周期：short duration
增稳系统：stability augmentation system
凯恩方程：Kane equation
声激励：sound excitation
首次穿越：first passage
高空长航时无人机：HALE UAV
二值积累：Binary integration
断轴：broken shaft
气泡变形：bubble deformation
启发式教育：heuristic education
颤振模型：flutter model
双基机载雷达：Bistatic airborne radar
涡核：vortex core
多操纵面：multiple control effectors
激光陀螺仪：ring laser gyroscope
三轴稳定：Three-axis Stabilization
数字再平衡回路：digital rebalance loop
静不稳定：static instability
巡飞弹：loitering munition
空间粉尘：space dust
辐射传递系数：radiation transfer coefficient
Pogo振动：pogo vibration
时间差分：temporal difference
空间政策：Spatial Policies
星载系统：Onboard system
光机系统：optomechanical system
作战任务：operation task
航天测控网：Space TT&C Network
姿态稳定：attitude stability
共享度：Sharing degree
整星隔振：whole-spacecraft vibration isolation
矩阵管理：matrix management
维修性分析：maintainability analysis
航迹预测：trajectory prediction
库塔条件：Kutta condition
移动系统：moving system
导流叶片：Guide vane
刚度优化：stiffness optimization
空域规划：airspace planning
减载：load reduction
轴系误差：axis error
供油特性：fuel supply characteristics
模型逆：model inversion
电推力器：electric thruster
泰勒展开法：Taylor expansion
基础运动：base motion
统计线性化：statistic linearization
任务规划系统：mission planning system
电液位置伺服：electro-hydraulic position servo
半边图：half edge graph
时隙交换：time slot switching
自由分子流：free molecular flow
粗糙元：roughness elements
高阶滑模控制：high-order sliding mode control
窄带信号：narrow-band signal
VisualC#.NET：Visual C#.NET
装药技术：Charge technology
模块配置：module configuration
碰撞率：collision rate
粒子群优化方法：Particle swarm optimization
组合爆炸：combination explosion
流动主动控制：active flow control
角度优化：angle optimization
序贯检测：sequential detection
磁控制：Magnetic control
壁面冷却：wall cooling
应用体系：application system
真空羽流：vacuum plume
雨流法：Rain-Flow Method
多目标进化：multi-objective evolution
出流孔：suction hole
风洞试验技术：wind tunnel test technique
循环对称结构：cyclic symmetric structure
自动灭火系统：automatic fire extinguishing system
进近管制：approach control
失速起始：stall inception
通信方案：communication scheme
质量波动：Quality fluctuation
计算量：computing cost
真近点角：true anomaly
偏近点角：eccentric anomaly
UD分解：UD factorization
多星测控：Multi-satellite TT&C
线振动：linear vibration
失效物理：failure physics
绝对法校准：absolute calibration
载荷历程：load history
压缩性效应：compressibility effect
轨道交会：Orbital Rendezvous
匹配傅里叶变换：match Fourier transform
捷联算法：strapdown algorithm
编队保持：Formation keeping
环量控制：circulation control
雷达天线系统：radar antenna system
初始轨道：initial orbit
简并模：degenerate mode
等离子体风洞：plasma wind tunnel
脱落涡：shedding vortex
非线性梁：nonlinear beam
模型自由飞：model free flight
解耦矩阵：decoupling matrix
空间通信：Space communication
数据质量评估：data quality evaluation
静力测试：static test
膜冷却：film cooling
喉衬：throat insert
自动着陆系统：automatic landing system
惯性张量：Inertial tensor
早期损伤：Early damage
主距：principal distance
高阶微分方程：high-order differential equation
电子浓度：Electron density
总线控制器(BC)：bus controller(BC)
外在因素：external factor
Power图：power diagram
双目视觉系统：binocular vision system
扰动函数：Disturbance function
测向误差：direction finding error
再入弹头：reentry warhead
